te,max
1,24.6
2,24.6
3,24.3
4,24.5
5,25.3
6,23.8
7,23.4
8,24.4
9,25.3
10,23.6
11,22.2
12,21.1
13,22.9
14,21.1
15,21
16,20
17,19.5
18,20.5
19,22.6
20,23.2
21,23.1
22,23.2
23,24.1
24,23.4
25,23.2
26,24.4
27,23.8
28,23.3
29,21.3
30,20.6
31,21.9
32,21.8
33,22.9
34,24.1
35,24
36,24.1
37,24.3
38,23.9
39,24.1
40,25.6
41,25.2
42,24.4
43,24.2
44,23.9
45,24.4
46,25.1
47,25.4
48,24.9
49,25.4
50,26.2
51,27.5
52,26.7
53,26.2
54,25.8
55,24.9
56,23.8
57,25.4
58,26.1
59,27.3
60,26.8
61,27.3
62,27.8
63,28.4
64,28.6
65,25.4
66,26.1
67,28.6
68,28.9
69,27.1
70,28.4
71,27.6
72,26.1
73,26.9
74,26.4
75,26.5
76,26.7
77,27.8
78,29.9
79,30.4
80,30.5
81,29.6
82,28.6
83,29
84,29.8
85,30.2
86,31
87,30.7
88,30.4
89,27.7
90,25.5
91,25.9
92,26.4
93,27.3
94,26
95,26.8
96,27.4
97,27.8
98,27.2
99,26.4
100,26.4
101,27.6
102,28.3
103,28.4
104,29.1
105,29
106,29.2
107,29.9
108,31.1
109,30.6
110,31
111,30.8
112,30.9
113,30.2
114,29.6
115,29.4
116,28.8
117,29.6
118,28.5
119,29.1
120,30.3
121,30
122,30.4
123,29.2
124,27.3
125,27.9
126,28.9
127,29.1
128,29.3
129,29.2
130,29.9
131,29.6
132,30.5
133,32.1
134,32.4
135,31.6
136,31.1
137,30.1
138,30.6
139,30.7
140,30.4
141,30.7
142,30.8
143,30.8
144,31.6
145,31.5
146,31.9
147,32.1
148,31.8
149,31.6
150,31.5
151,30.2
152,30.1
153,29.6
154,29.3
155,26.8
156,27.3
157,25.4
158,25.8
159,23.3
160,24.6
161,26.3
162,28
163,29.6
164,29.6
165,29.9
166,30.4
167,30.6
168,29.7
169,28.6
170,27.1
171,27.7
172,28.6
173,28.8
174,28.3
175,28.4
176,28.9
177,27.6
178,28
179,27.9
180,28.1
181,27.4
182,27.8
183,28.9
184,29
185,29.1
186,29.3
187,29.3
188,28.9
189,28.5
190,28.8
191,28.9
192,29
193,27.9
194,25.9
195,27
196,28.6
197,28.9
198,29.1
199,29.1
200,29.1
201,29.3
202,28.8
203,28.5
204,28.6
205,26.4
206,26.6
207,28
208,28.4
209,28
210,28.7
211,28.9
212,28.8
213,28.8
214,29
215,28.9
216,28.6
217,29.3
218,29.3
219,29.3
220,29.6
221,29.8
222,30.4
223,29.6
224,29.5
225,28.9
226,28.1
227,27.3
228,27.1
229,27.6
230,27.2
231,26.9
232,27.3
233,27.8
234,26.6
235,27.5
236,27.1
237,28.1
238,28.4
239,28.9
240,28.5
241,27.6
242,28.4
243,29.6
244,29.4
245,29.4
246,28.1
247,28.2
248,27.9
249,27.6
250,27.1
251,27.4
252,27.9
253,28
254,27.9
255,27.5
256,27.2
257,27.1
258,26.9
259,26.8
260,27.1
261,27.2
262,26.9
263,26.6
264,27.4
265,27.5
266,27.6
267,28.1
268,28.4
269,28.4
270,28.3
271,27
272,25.8
273,25.4
274,26.2
275,27.4
276,27.5
277,27.7
278,28.6
279,27.4
280,25.9
281,26.6
282,27.7
283,28.1
284,27.6
285,27.2
286,27.3
287,25.8
288,26.3
289,25.8
290,24.9
291,26.2
292,26.9
293,26.7
294,27.1
295,27
296,27.9
297,27.9
298,26.3
299,26.3
300,26.4
301,27
302,27.6
303,27.1
304,25.9
305,25.8
306,26.4
307,27.4
308,27.6
309,27.5
310,27.7
311,28
312,27.6
313,27.4
314,26.6
315,26.8
316,28.4
317,28
318,27.3
319,26.6
320,26.6
321,26.8
322,26.6
323,25
324,25.2
325,26.3
326,25.1
327,25.6
328,26.4
329,27.2
330,27.4
331,25.3
332,25.6
333,25.9
334,26.1
335,25.9
336,25.4
337,25.7
338,23.3
339,21.5
340,23.3
341,24.2
342,25.3
343,22.9
344,24.1
345,25.8
346,23.8
347,24.1
348,23
349,23.6
350,21.1
351,24.3
352,25.2
353,24.7
354,25.5
355,24.7
356,24.4
357,23.6
358,23.7
359,24.1
360,23.6
361,24
362,24.2
363,24.4
364,24.9
365,24.9
366,24.9
367,25.6
368,26.6
369,26.4
370,27.1
371,27.1
372,27.7
373,26.9
374,26.9
375,26.6
376,26.2
377,25.4
378,26.3
379,25.9
380,24.4
381,24.2
382,24.2
383,22.4
384,23.4
385,23.1
386,23.9
387,24.2
388,23
389,22.4
390,21.1
391,24.6
392,24.6
393,26.4
394,26.9
395,26.7
396,27.5
397,27.5
398,26.4
399,23.7
400,23.2
401,21.1
402,18.6
403,22.3
404,26.1
405,27.6
406,28
407,28.5
408,26.7
409,26.2
410,27
411,26.8
412,28.1
413,28.6
414,28.7
415,27.7
416,27.4
417,27.1
418,27.1
419,27.4
420,26.1
421,24.3
422,23.4
423,23.7
424,20.9
425,23.4
426,24.6
427,26.5
428,24.6
429,25.9
430,25.1
431,25.4
432,25.3
433,25
434,25.7
435,26.4
436,27.1
437,26.1
438,27.1
439,26.6
440,24.8
441,23.9
442,24.7
443,25.5
444,27.4
445,29
446,28.9
447,28.6
448,28.6
449,28.1
450,28.7
451,27.9
452,28.9
453,29.3
454,29.8
455,28.7
456,29.6
457,28.9
458,26.1
459,28.4
460,31.4
461,31
462,31.2
463,31.4
464,30.9
465,31
466,30.3
467,30.1
468,30.7
469,31.1
470,31.8
471,31.4
472,30.9
473,30.3
474,30.5
475,30.9
476,31.8
477,32.3
478,32.6
479,31.9
480,30.9
481,31.4
482,30.8
483,31.3
484,31.5
485,31.9
486,32.6
487,32.6
488,31.6
489,31.7
490,30.8
491,31
492,31.1
493,30.8
494,30.3
495,30.7
496,31.8
497,31.1
498,30.6
499,30.8
500,30.8
501,30.7
502,30.7
503,30.9
504,30.9
505,31.4
506,30.6
507,30.9
508,30.9
509,31.1
510,31
511,31.3
512,31.8
513,31.8
514,30.4
515,30.8
516,31.4
517,32.2
518,32
519,33
520,33.1
521,33.1
522,33.4
523,33.1
524,33.2
525,33.5
526,33.6
527,33.5
528,33.1
529,33.1
530,32.6
531,31.4
532,31.4
533,29.8
534,29.9
535,29.6
536,30.4
537,29.7
538,29.1
539,27.7
540,29
541,28.8
542,29.6
543,30
544,29.4
545,30.3
546,30.1
547,30.1
548,30.1
549,29.3
550,29.9
551,29.3
552,27.5
553,27.7
554,28.8
555,30
556,29.5
557,29.9
558,30.1
559,29.6
560,28.7
561,29
562,29.6
563,30.1
564,28.8
565,29.3
566,28.7
567,28.9
568,27.5
569,27.4
570,28.2
571,29.1
572,27.7
573,27.3
574,27.9
575,28.3
576,29.1
577,28.8
578,29.9
579,29.4
580,28.5
581,28.7
582,29.2
583,29.1
584,28.9
585,27.6
586,27.8
587,27.9
588,28.2
589,27.9
590,27.7
591,27.5
592,27.4
593,27.7
594,28
595,28.2
596,28.6
597,28.7
598,28.7
599,27.4
600,27.8
601,25.5
602,25.8
603,27.4
604,27.8
605,27.4
606,28.6
607,27.9
608,27
609,26.3
610,26.8
611,27.6
612,27.6
613,27.8
614,28.4
615,27.9
616,27.4
617,26.9
618,27.6
619,27.7
620,28.7
621,28.2
622,28.5
623,28.8
624,29.4
625,29.2
626,29.5
627,28.9
628,28.6
629,28.9
630,27.7
631,28.2
632,28.6
633,28.7
634,28.2
635,29.6
636,29
637,28.8
638,27.6
639,28.1
640,28.6
641,28.5
642,28
643,26.9
644,27.7
645,26.4
646,25.4
647,24.6
648,26
649,26.4
650,27.4
651,28.4
652,27.9
653,26.7
654,26.9
655,27.5
656,28.1
657,27.9
658,27.7
659,29.4
660,30.1
661,29.5
662,28.6
663,27.7
664,26.6
665,27.3
666,26.4
667,26.8
668,27.1
669,26.8
670,27.4
671,26.4
672,26.2
673,27.6
674,27.6
675,29.1
676,27.8
677,27.5
678,27
679,27.4
680,27.7
681,27.4
682,27.1
683,28.4
684,28
685,28.3
686,25.3
687,25.5
688,26.2
689,26
690,25.9
691,25.1
692,25
693,25.7
694,25.7
695,25.9
696,26.3
697,25.5
698,26.1
699,26
700,26.5
701,26.6
702,26.9
703,27.4
704,26
705,26.4
706,23.5
707,22.3
708,21.1
709,22.9
710,22.1
711,26.7
712,27.1
713,28.1
714,28
715,26
716,25.9
717,24.8
718,24.2
719,23.6
720,23.9
721,24.6
722,25.2
723,25.1
724,24.9
725,24.9
726,25
727,26.2
728,26.2
729,26.3
730,26.5
731,25.9
732,25.6
733,26.3
734,27.1
735,26.8
736,25.1
737,23.3
738,23.5
739,25.1
740,25.5
741,25.1
742,24.7
743,24.7
744,24.9
745,25.7
746,26.4
747,25.7
748,23
749,22.7
750,26.5
751,26.8
752,26.4
753,26.7
754,26.7
755,26.1
756,25.1
757,22.8
758,25.8
759,25.9
760,25.9
761,26.9
762,26.7
763,27.1
764,26.1
765,27
766,27
767,26.9
768,26.7
769,25.8
770,26.1
771,26.9
772,27.6
773,26.1
774,24.7
775,25.8
776,26.2
777,27.9
778,29.5
779,30
780,29.8
781,28.7
782,28.4
783,29.2
784,29.4
785,28.2
786,28.9
787,28.1
788,28.7
789,26.6
790,29
791,29.3
792,28.5
793,29.2
794,29.1
795,28.8
796,29.8
797,30
798,29.4
799,29.5
800,28.7
801,27.6
802,29.1
803,30.8
804,29.2
805,29.2
806,30
807,30.5
808,30.3
809,29.9
810,27.7
811,28.1
812,28.3
813,28.7
814,27.9
815,27.4
816,28
817,28.4
818,29
819,29.2
820,30
821,30.9
822,30.7
823,31
824,31.7
825,31.7
826,31.5
827,30.9
828,31.2
829,29.4
830,29.3
831,30.9
832,31.9
833,31.9
834,31.6
835,31
836,30.2
837,31
838,30.9
839,31.4
840,32.2
841,31.8
842,31.9
843,31.3
844,30.7
845,31.6
846,32.4
847,32.5
848,32.2
849,32.1
850,32
851,31.2
852,29.7
853,29
854,30.3
855,30.5
856,31.1
857,31.7
858,32.2
859,32.1
860,32.5
861,32.4
862,31.6
863,27.9
864,29.4
865,31.3
866,29.7
867,28.8
868,28.6
869,28.2
870,28.5
871,28.5
872,31.2
873,30.5
874,31.6
875,31.6
876,31.1
877,31.2
878,31.6
879,31
880,29.1
881,29.8
882,30.3
883,29.4
884,29.6
885,28.1
886,26.1
887,27.6
888,28.5
889,28.4
890,29.8
891,29.9
892,29.9
893,31.2
894,31.3
895,31
896,30.9
897,31.2
898,31.2
899,31.1
900,31.3
901,29.5
902,30.6
903,30.8
904,30.4
905,30.5
906,30.1
907,29.6
908,29.5
909,30.1
910,30.4
911,28.2
912,28.3
913,28.4
914,30.1
915,30.6
916,31.1
917,29.8
918,30.2
919,30.6
920,30.9
921,29.9
922,29.9
923,28.7
924,28.6
925,29.6
926,29.4
927,29.2
928,28.7
929,29.4
930,30.1
931,30.4
932,30.5
933,29.8
934,27.8
935,26.3
936,25.7
937,26.6
938,28.2
939,25.5
940,27.1
941,28.1
942,27.8
943,28.1
944,29.1
945,29.2
946,27.7
947,27.6
948,28.1
949,27.1
950,27.2
951,27.3
952,28.7
953,28.5
954,28.1
955,28.1
956,27.1
957,29.6
958,29
959,29.3
960,30.3
961,29.8
962,30.1
963,28.4
964,28.6
965,28.2
966,28.7
967,28.2
968,27.1
969,27.7
970,28.4
971,28.1
972,29
973,28.7
974,27.4
975,26.3
976,27.4
977,28.2
978,28.5
979,23.9
980,25.4
981,27.3
982,27.4
983,27.6
984,28.5
985,28.3
986,28.7
987,28.4
988,27.9
989,25.9
990,25.8
991,27.5
992,28.2
993,27.4
994,27.7
995,27.2
996,28.1
997,28.2
998,28.4
999,27.5
1000,27.7
1001,28.7
1002,28.7
1003,28.9
1004,28.7
1005,27.3
1006,27.1
1007,27.6
1008,27.6
1009,26.9
1010,25.5
1011,27
1012,27.6
1013,28.4
1014,29.2
1015,29.6
1016,29.9
1017,28.7
1018,26.5
1019,26.3
1020,24.7
1021,26.3
1022,27.5
1023,28.1
1024,28.6
1025,28.9
1026,27.9
1027,26.1
1028,27.1
1029,27.1
1030,27.6
1031,27.1
1032,27.1
1033,25.9
1034,27.1
