iter	Passed	Remaining
0	8	81654
1	14	74526
2	21	71751
3	37	94201
4	44	89071
5	50	84874
6	58	82886
7	64	80409
8	77	86158
9	84	84193
10	89	81033
11	96	79911
12	102	78782
13	111	79388
14	119	79300
15	130	81590
16	143	84094
17	156	86556
18	165	86839
19	175	87332
20	185	87992
21	196	88955
22	202	87725
23	208	86750
24	215	85888
25	224	86136
26	232	85733
27	239	85201
28	245	84314
29	251	83644
30	259	83381
31	268	83520
32	274	83003
33	281	82528
34	288	82030
35	295	81775
36	302	81457
37	317	83195
38	327	83717
39	336	83879
40	343	83315
41	349	82809
42	357	82823
43	367	83052
44	373	82588
45	382	82838
46	391	82842
47	398	82534
48	405	82341
49	412	82095
50	418	81723
51	426	81502
52	432	81264
53	440	81066
54	450	81392
55	456	81130
56	465	81170
57	475	81479
58	484	81617
59	493	81806
60	500	81560
61	508	81543
62	517	81567
63	536	83359
64	546	83569
65	555	83621
66	570	84648
67	581	85003
68	598	86170
69	619	87832
70	633	88579
71	640	88287
72	648	88227
73	655	87974
74	667	88383
75	689	89998
76	700	90265
77	717	91238
78	725	91165
79	733	90911
80	739	90516
81	748	90485
82	765	91423
83	774	91464
84	785	91612
85	792	91330
86	803	91565
87	811	91368
88	823	91694
89	834	91891
90	844	91910
91	850	91559
92	856	91233
93	863	90974
94	872	91021
95	885	91319
96	899	91809
97	905	91542
98	922	92249
99	938	92956
100	960	94098
101	973	94454
102	993	95465
103	1000	95230
104	1007	94972
105	1021	95330
106	1033	95560
107	1043	95554
108	1061	96338
109	1074	96600
110	1082	96423
111	1095	96682
112	1117	97785
113	1139	98806
114	1148	98682
115	1161	98932
116	1178	99530
117	1189	99613
118	1198	99548
119	1218	100357
120	1230	100503
121	1238	100283
122	1247	100136
123	1254	99933
124	1272	100539
125	1281	100441
126	1298	100970
127	1305	100715
128	1319	100959
129	1334	101330
130	1342	101171
131	1350	100989
132	1357	100680
133	1366	100582
134	1372	100275
135	1378	99971
136	1384	99698
137	1395	99737
138	1403	99543
139	1410	99356
140	1417	99145
141	1424	98898
142	1431	98663
143	1444	98887
144	1457	99035
145	1468	99120
146	1477	99019
147	1485	98862
148	1492	98642
149	1498	98396
150	1513	98692
151	1521	98557
152	1530	98517
153	1541	98537
154	1550	98485
155	1559	98407
156	1567	98277
157	1575	98160
158	1583	98018
159	1590	97794
160	1599	97728
161	1613	97974
162	1620	97767
163	1631	97845
164	1642	97878
165	1654	97998
166	1660	97771
167	1670	97755
168	1677	97579
169	1683	97367
170	1697	97584
