iter	RMSE
0	0.8973401267
1	0.8429276001
2	0.7940765923
3	0.7489387124
4	0.7103266683
5	0.6727850705
6	0.6397225218
7	0.609346416
8	0.5816299859
9	0.5526711241
10	0.5276419397
11	0.5059114401
12	0.4860891636
13	0.4661129704
14	0.4476006137
15	0.4316140331
16	0.4167121026
17	0.4046107958
18	0.3928777929
19	0.3821470352
20	0.371908838
21	0.3619920255
22	0.3534259976
23	0.3457129073
24	0.3381597639
25	0.3310435253
26	0.3249551632
27	0.3193342759
28	0.3142795629
29	0.3097050016
30	0.305445438
31	0.3007684757
32	0.2970727354
33	0.2937521639
34	0.2901111411
35	0.2865666163
36	0.2830466811
37	0.2804015578
38	0.2776008317
39	0.2745059759
40	0.2711320293
41	0.2688289893
42	0.2662037261
43	0.2638383775
44	0.2611738087
45	0.2590884107
46	0.2570414527
47	0.255014608
48	0.2533661462
49	0.2510928384
50	0.2490836807
51	0.2474882166
52	0.2461795609
53	0.2445387721
54	0.2429678635
55	0.2413560716
56	0.2391604939
57	0.2379352062
58	0.2368225571
59	0.2351788419
60	0.2331968623
61	0.2318971725
62	0.2307276685
63	0.2289633967
64	0.2277128529
65	0.226576261
66	0.2256919953
67	0.2237540584
68	0.2224425775
69	0.2215903756
70	0.2208606526
71	0.2189781569
72	0.2181956139
73	0.2162077937
74	0.2144641364
75	0.2138334843
76	0.2129055906
77	0.2119501853
78	0.2112026518
79	0.2096577625
80	0.2088687989
81	0.2075017117
82	0.2069055239
83	0.2061846225
84	0.2053211947
85	0.2044460293
86	0.2038757196
87	0.2028779314
88	0.2021128538
89	0.2011125024
90	0.2006195691
91	0.1998998395
92	0.1992014091
93	0.1986546292
94	0.1977868921
95	0.1970717652
96	0.196148082
97	0.1956686115
98	0.195023635
99	0.1943107911
100	0.19395669
101	0.1932851223
102	0.19286117
103	0.1921272817
104	0.1915918069
105	0.1908792948
106	0.1902705569
107	0.1897562635
108	0.1892149301
109	0.18853058
110	0.1881785226
111	0.1875066653
112	0.1870194473
113	0.1861870519
114	0.1854787977
115	0.1849081348
116	0.1846151588
117	0.1838594415
118	0.1831466563
119	0.1821992468
120	0.1816058743
121	0.1807485583
122	0.180374034
123	0.1799285759
124	0.1794709524
125	0.1787804861
126	0.178453541
127	0.1779914289
128	0.1770051639
129	0.1766618158
130	0.1759535647
131	0.1754914162
132	0.1748612893
133	0.1743469166
134	0.1741151347
135	0.1736592172
136	0.1732916243
137	0.1729487501
138	0.1718289356
139	0.1709753312
140	0.1706438412
141	0.170293041
142	0.1698634419
143	0.1695294859
144	0.1692298203
145	0.1684925769
146	0.1680123946
147	0.1674870936
148	0.1672288352
149	0.166698164
150	0.1663241905
151	0.1655331276
152	0.1650319977
153	0.1644316708
154	0.1636294361
155	0.1631268567
156	0.162667302
157	0.1623030143
158	0.1618998704
159	0.1617315714
160	0.161529187
161	0.1610731217
162	0.1604914566
163	0.1600079083
164	0.1595070581
165	0.1588239442
166	0.1586117092
167	0.1583590685
168	0.1575620059
169	0.156781422
170	0.1563158263
171	0.1559577067
172	0.1554633398
173	0.1550369051
174	0.1546559303
175	0.1544233596
176	0.154294862
177	0.153689728
178	0.1533225905
179	0.1532068303
180	0.1525898893
181	0.1522226575
182	0.1517911329
183	0.1513453208
184	0.1509129705
185	0.1505190038
186	0.1501495565
187	0.1496111683
188	0.1494833394
189	0.1490456003
190	0.1485538038
191	0.1480154363
192	0.1473928196
193	0.1471947894
194	0.1470579884
195	0.1467953917
196	0.14640989
197	0.1459495858
198	0.1457713265
199	0.1454638507
200	0.1449807724
201	0.1446144684
202	0.1441849284
203	0.1439884511
204	0.1436912619
205	0.1432725374
206	0.1431514637
207	0.1427336042
208	0.1422325017
209	0.1420516122
210	0.1417581266
211	0.1415983198
212	0.1412000149
213	0.14085159
214	0.1405178272
215	0.1401231231
216	0.1397788563
217	0.1396157489
218	0.139410649
219	0.1389836435
220	0.1386606766
221	0.1381598618
222	0.1378416418
223	0.1374178352
224	0.1372582271
225	0.1371355108
226	0.1368571846
227	0.1364279582
228	0.1360403217
229	0.1358215596
230	0.1356463591
231	0.1353488975
232	0.1350790409
233	0.1349044294
234	0.1346854271
235	0.1343988371
236	0.1340211139
237	0.1336159765
238	0.133339959
239	0.1332266091
240	0.1328428583
241	0.1327088841
242	0.1323461615
243	0.13220645
244	0.1319190484
245	0.1316374946
246	0.1313299733
247	0.1310280742
248	0.1308473177
249	0.1304806909
250	0.1302331541
251	0.1299578434
252	0.1297099291
253	0.1295048253
254	0.1291815
255	0.1289692865
256	0.1288689412
257	0.1284973237
258	0.1282737668
259	0.1280852763
260	0.1279753205
261	0.1277065001
262	0.127423825
263	0.1271767081
264	0.1268782619
265	0.1266876194
266	0.126504085
267	0.1261674947
268	0.1259285492
269	0.125648504
270	0.1253500776
271	0.1251228703
272	0.1248968688
273	0.1247533492
274	0.124551728
275	0.1242768615
276	0.1241062891
277	0.1238369441
278	0.1235879635
279	0.1233572753
280	0.1231445279
281	0.1228828498
282	0.1226535525
283	0.1225381688
284	0.1223554783
285	0.1222074476
286	0.1220791721
287	0.1218912609
288	0.1217376682
289	0.1215736831
290	0.1213942549
291	0.121218471
292	0.1210239589
293	0.120965308
294	0.1208303983
295	0.1206832709
296	0.120498594
297	0.1203833234
298	0.1201014704
299	0.1199116418
300	0.1196972355
301	0.1194238791
302	0.1191520519
303	0.1188912859
304	0.1187406239
305	0.118566944
306	0.1184387537
307	0.1181275965
308	0.1179264328
309	0.1177526886
310	0.1174497577
311	0.1172984505
312	0.1171592155
313	0.1170950105
314	0.116814478
315	0.1166139388
316	0.1163104171
317	0.1161340696
318	0.1158839325
319	0.1157444523
320	0.1155626686
321	0.1153804815
322	0.1151837192
323	0.1150359527
324	0.1149491635
325	0.1147617927
326	0.1145662318
327	0.1144094187
328	0.1142434187
329	0.1141617442
330	0.1140020671
331	0.1137866018
332	0.1134514108
333	0.1133448483
334	0.1132493945
335	0.1130948113
336	0.1128827702
337	0.1127582822
338	0.1125088752
339	0.1122560399
340	0.1121455693
341	0.1119902795
342	0.1118021402
343	0.1115052565
344	0.1113160787
345	0.1112102252
346	0.1110813226
347	0.1109355865
348	0.1108604715
349	0.1106886919
350	0.1104333382
351	0.1102278719
352	0.109975538
353	0.1097484201
354	0.1096311234
355	0.1094693023
356	0.1093411754
357	0.1092461393
358	0.1091256854
359	0.1089258001
360	0.1087340029
361	0.1086354181
362	0.1085377968
363	0.1083429237
364	0.1081292467
365	0.1079846688
366	0.107868826
367	0.107757066
368	0.1076183007
369	0.1075419711
370	0.1073740779
371	0.1072474785
372	0.1071650554
373	0.107029913
374	0.1068286545
375	0.1066472587
376	0.1065335466
377	0.1063924251
378	0.1061949706
379	0.1060520477
380	0.1059497969
381	0.1058518942
382	0.1057633754
383	0.105670891
384	0.1055553544
385	0.1053666365
386	0.1052064782
387	0.1050370607
388	0.1048777
389	0.1047782888
390	0.1046660744
391	0.1044613122
392	0.1043105243
393	0.1042304488
394	0.1040598083
395	0.1039278549
396	0.1038038077
397	0.1037097507
398	0.1035479874
399	0.1034417784
400	0.1032931497
401	0.1030256926
402	0.1028663108
403	0.1027417957
404	0.1025684939
405	0.1024192202
406	0.1023257044
407	0.1022146577
408	0.102056194
409	0.1018770899
410	0.1016728107
411	0.1015533372
412	0.1014814523
413	0.1014075761
414	0.1012887095
415	0.1011368938
416	0.1008803629
417	0.1007310196
418	0.1006072223
419	0.1005151877
420	0.1003892792
421	0.100260131
422	0.100112704
423	0.09996294027
424	0.09981100493
425	0.09973012948
426	0.09943432619
427	0.09927447181
428	0.09920375712
429	0.09908129431
430	0.09893180828
431	0.09880018264
432	0.09859444682
433	0.09846004267
434	0.0983470825
435	0.09814395166
436	0.09800393925
437	0.09786107928
438	0.09771268991
439	0.09758512117
440	0.09749155799
441	0.09740528033
442	0.0973367677
443	0.0972280202
444	0.09714551048
445	0.09693846854
446	0.09684665742
447	0.09677736407
448	0.0966535472
449	0.09659974716
450	0.09650141842
451	0.09641084683
452	0.09633247553
453	0.09620133734
454	0.09613108722
455	0.09597635151
456	0.09580149809
457	0.09557412778
458	0.09540713623
459	0.09530084981
460	0.0952210645
461	0.09509014015
462	0.09491131371
463	0.09480233694
464	0.09469508522
465	0.09460323874
466	0.09448204884
467	0.09436962226
468	0.09418207723
469	0.0940500112
470	0.09389584713
471	0.0937876395
472	0.09369890059
473	0.09363454391
474	0.09353015272
475	0.09348307711
476	0.09340398393
477	0.09330892767
478	0.09324332085
479	0.09316011125
480	0.09306519685
481	0.09299839919
482	0.09287877294
483	0.09281450731
484	0.092736876
485	0.09266871805
486	0.09245907709
487	0.09239297976
488	0.09225113345
489	0.09211042445
490	0.09200265318
491	0.09190694116
492	0.09183657156
493	0.09173121944
494	0.09160869822
495	0.09147968031
496	0.09135905098
497	0.09128092942
498	0.09122196529
499	0.09104480105
500	0.09091225028
501	0.0908365896
502	0.09070296689
503	0.09056677253
504	0.09051046236
505	0.09038974911
506	0.09032944535
507	0.09026305594
508	0.09015802862
509	0.09006603688
510	0.09000080153
511	0.08994127524
512	0.08988265602
513	0.08983004259
514	0.08972366595
515	0.08964093133
516	0.08956970174
517	0.08948257357
518	0.08940229596
519	0.08926402144
520	0.08916890228
521	0.08906655272
522	0.0889326853
523	0.08884492166
524	0.08868776125
525	0.08857532487
526	0.08841003063
527	0.08835512775
528	0.08823206043
529	0.08815393241
530	0.0880636998
531	0.08796774433
532	0.08789151718
533	0.08784331901
534	0.08779843003
535	0.08771609505
536	0.08761804091
537	0.08757520089
538	0.08747156571
539	0.08741227068
540	0.08734996995
541	0.08726828615
542	0.08715607422
543	0.08703687325
544	0.08694111219
545	0.08686969167
546	0.08675203714
547	0.08662066015
548	0.08654847967
549	0.08642102698
550	0.08626464346
551	0.08614875147
552	0.08610333814
553	0.08597889398
554	0.08581540892
555	0.08573437301
556	0.08565994183
557	0.08554844323
558	0.08546507838
559	0.08538303305
560	0.08528804057
561	0.08522910727
562	0.0851768003
563	0.08505139193
564	0.08500458989
565	0.08488896612
566	0.08478844063
567	0.08469293463
568	0.08454686677
569	0.08446519378
570	0.0843644752
571	0.08418981222
572	0.08409687132
573	0.0840134822
574	0.08391775095
575	0.08383217263
576	0.08376776981
577	0.08365540787
578	0.08357921626
579	0.08347609742
580	0.08339789723
581	0.08327238392
582	0.08321253546
583	0.08306520077
584	0.08299437043
585	0.08290659262
586	0.08279309508
587	0.08270867648
588	0.08264365032
589	0.08256469999
590	0.08247833945
591	0.08235636088
592	0.0822957673
593	0.08221816387
594	0.08215105774
595	0.0821021181
596	0.08200749114
597	0.08190859602
598	0.08182028148
599	0.08173019531
600	0.08167469546
601	0.08159397526
602	0.08148789625
603	0.08137833288
604	0.0812983568
605	0.08122967414
606	0.08114175066
607	0.08105788446
608	0.08097487812
609	0.08092822771
610	0.08088406866
611	0.08081933899
612	0.08075165503
613	0.08069898541
614	0.08063656154
615	0.08058935132
616	0.08050983166
617	0.08042849597
618	0.080366975
619	0.08027355694
620	0.08019081371
621	0.08005406881
622	0.07997529662
623	0.07993657214
624	0.07988901887
625	0.07984608097
626	0.07979630629
627	0.07967601603
628	0.07960042507
629	0.07951404882
630	0.07945484339
631	0.07936194127
632	0.07928802374
633	0.07921890716
634	0.07914624372
635	0.07905025959
636	0.07900071859
637	0.0789464547
638	0.07888136177
639	0.07880357582
640	0.07872035729
641	0.07868764554
642	0.0786051116
643	0.07848975104
644	0.07837230649
645	0.07827158973
646	0.07824035648
647	0.07813940014
