iter	Passed	Remaining
0	34	34786
1	44	22081
2	53	17802
3	62	15680
4	74	14750
5	85	14200
6	100	14227
7	110	13693
8	119	13188
9	129	12773
10	140	12639
11	150	12353
12	159	12118
13	169	11960
14	180	11846
15	191	11758
16	200	11607
17	212	11592
18	224	11614
19	240	11770
20	250	11677
21	262	11649
22	274	11669
23	284	11557
24	293	11451
25	302	11341
26	312	11248
27	321	11158
28	330	11074
29	340	10994
30	349	10923
31	358	10854
32	368	10799
33	380	10810
34	393	10836
35	406	10888
36	416	10828
37	425	10768
38	434	10712
39	443	10654
40	453	10601
41	463	10563
42	472	10516
43	482	10472
44	491	10427
45	501	10401
46	512	10389
47	524	10395
48	534	10374
49	547	10394
50	556	10353
51	565	10312
52	574	10272
53	584	10236
54	593	10201
55	603	10172
56	612	10140
57	622	10105
58	631	10070
59	640	10038
60	650	10008
61	660	9985
62	672	9996
63	683	9994
64	693	9975
65	703	9950
66	713	9933
67	723	9909
68	732	9880
69	741	9851
70	751	9828
71	760	9802
72	770	9778
73	779	9751
74	788	9726
75	798	9705
76	807	9678
77	816	9654
78	825	9629
79	836	9614
80	845	9593
81	856	9591
82	867	9589
83	877	9571
84	887	9553
85	897	9535
86	908	9529
87	922	9562
88	932	9543
89	942	9529
90	952	9518
91	963	9513
92	974	9503
93	984	9484
94	993	9464
95	1005	9470
96	1016	9463
97	1030	9486
98	1040	9469
99	1050	9453
100	1060	9435
101	1069	9416
102	1079	9396
103	1088	9376
104	1097	9355
105	1107	9338
106	1116	9317
107	1125	9295
108	1135	9285
109	1145	9267
110	1156	9262
111	1167	9259
112	1177	9242
113	1191	9262
114	1201	9243
115	1210	9224
116	1220	9210
117	1232	9211
118	1241	9192
119	1250	9173
120	1260	9154
121	1269	9135
122	1278	9117
123	1288	9100
124	1297	9081
125	1307	9067
126	1321	9086
127	1334	9090
128	1344	9076
129	1354	9062
130	1363	9048
131	1373	9033
132	1383	9016
133	1392	8999
134	1401	8981
135	1410	8963
136	1420	8945
137	1429	8929
138	1438	8912
139	1449	8901
140	1458	8885
141	1467	8866
142	1476	8849
143	1486	8836
144	1497	8831
145	1507	8818
146	1519	8816
147	1529	8802
148	1538	8786
149	1548	8775
